Id,Label,indegree,outdegree,degree,modularity_class,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,eigencentrality,pageranks
JCY坐在五号包厢,,1,0,1,0,0,0,0,0,0.011354,0.000037
不如先去吹吹风啦,,1,0,1,0,0,0,0,0,0.011354,0.000022
用户7920682310,,1,0,1,0,0,0,0,0,0.011354,0.00002
退役鸭王,,0,0,0,0,0,0,0,0,0,0.00002
人生似识朝暮,,1,0,1,0,0,0,0,0,0.325764,0.00002
人五_,,0,75,75,1,1,1,1,0,0,0.00002
喵喵飞叶刀,,1,0,1,0,0,0,0,0,0.011354,0.00002
_失眠怪_,,1,0,1,0,0,0,0,0,0.042528,0.00002
脖子太痒只因脏,,2,0,2,0,0,0,0,0,0.337118,0.00002
Watermewlon,,1,0,1,0,0,0,0,0,0.325764,0.00002
豌豆机枪手和紫皮大蘑菇,,1,0,1,0,0,0,0,0,0.209458,0.000036
神奇莉央,,1,0,1,0,0,0,0,0,0.325764,0.00002
我是黄猿高手,,1,0,1,0,0,0,0,0,0.325764,0.00002
伊泽12138,,1,0,1,0,0,0,0,0,0.011354,0.000022
辣椒炒宇宙,,0,1,1,0,1,1,1,0,0,0.00002
遇见萨摩耶,,1,0,1,0,0,0,0,0,0.011354,0.000037
胖娃娃吖胖娃娃,,3,0,3,1,0,0,0,0,0.034062,0.000039
别梦依稀笑逝川,,0,3,3,0,1,1,1,0,0,0.00002
幻想主义1993,,1,0,1,0,0,0,0,0,0.011354,0.000026
手机用户1886752653,,1,0,1,0,0,0,0,0,0.011354,0.000028
欠拴了,,1,0,1,0,0,0,0,0,0.011354,0.00002
大牦哥,,1,0,1,0,0,0,0,0,0.042528,0.00002
用户7929708640,,1,0,1,0,0,0,0,0,0.042528,0.000037
用户5324098536,,1,0,1,0,0,0,0,0,0.042528,0.00002
少年一面落酒依,,1,0,1,0,0,0,0,0,0.011354,0.000022
好废的布偶猫,,0,11,11,0,2,0.823529,0.892857,0,0,0.00002
蜂蜜渍柠檬,,3,0,3,0,0,0,0,0,0.379646,0.00002
正义的小旗手,,1,0,1,0,0,0,0,0,0.011354,0.00002
爱吃降水面,,1,0,1,0,0,0,0,0,0.325764,0.00002
柴郡世界第一可爱,,1,0,1,0,0,0,0,0,0.325764,0.00002
正常恋爱捏,,2,0,2,0,0,0,0,0,0.651528,0.00002
a_peepo,,1,0,1,0,0,0,0,0,0.011354,0.00002
混吃等死小mumu,,1,0,1,0,0,0,0,0,0.011354,0.000028
游戏动力,,0,2,2,0,1,1,1,0,0,0.00002
不飞今年不会秃头,,1,0,1,0,0,0,0,0,0.011354,0.000028
永耀洪荒,,6,0,6,0,0,0,0,0,0.099297,0.000036
奕梦8,,4,0,4,0,0,0,0,0,0.391,0.000036
青城山中九节狼,,0,2,2,0,1,1,1,0,0,0.00002
胜利主义章北海,,0,10,10,0,1,1,1,0,0,0.00002
大喷菇与豌豆公主,,0,21,21,1,2,0.586777,0.647887,0,0,0.00002
嗷嗷啊不,,0,1,1,0,1,1,1,0,0,0.00002
CAPEPPP,,1,0,1,0,0,0,0,0,0.011354,0.000037
苍蓝的鹰海,,1,0,1,0,0,0,0,0,0.325764,0.00002
云淡19941016,,1,0,1,0,0,0,0,0,0.011354,0.000026
出离的愤怒吗,,1,0,1,0,0,0,0,0,0.042528,0.00002
呛茨呛茨呛呲呲,,3,0,3,0,0,0,0,0,0.034062,0.000054
在线封笔专家,,1,0,1,0,0,0,0,0,0.325764,0.00002
松风明月千里归途,,1,0,1,0,0,0,0,0,0.011354,0.000021
乐子人也,,0,13,13,0,1,1,1,0,0,0.00002
咖喱烤肉拌饭,,1,0,1,0,0,0,0,0,0.011354,0.000021
明月随轻风,,1,0,1,0,0,0,0,0,0.011354,0.000024
摘桃子之王,,1,0,1,0,0,0,0,0,0.011354,0.00002
灰骑士至高大导师,,2,0,2,0,0,0,0,0,0.022708,0.000037
