name,Label,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,componentnumber,strongcompnum,modularity_class,clustering
蜂蜜渍柠檬,,3,0,3,5,0,5,0,0,0,0,0,1070,0,0.333333
驰名双标菌,,1,2,3,1,3,4,1,1,1,2,0,2487,0,0
格崽限定,,0,3,3,0,3,3,2,0.666667,0.75,0,0,2688,0,0
花园里的小秘密,,3,0,3,3,0,3,0,0,0,0,0,470,0,0
战甲装研菌,,1,2,3,1,2,3,1,1,1,2,0,167,0,0
小虾才没香喷喷,,2,1,3,2,1,3,1,1,1,2,0,162,0,0
霹雳吧啦咚嚓嚓,,3,0,3,3,0,3,0,0,0,0,0,263,0,0
FC小生,,3,0,3,3,0,3,0,0,0,0,0,448,1,0
惩恶扬善王小并,,3,0,3,3,0,3,0,0,0,0,0,8,0,0
水灵亭亭,,3,0,3,4,0,4,0,0,0,0,0,39660,1,0
东边道山林队-华夏小卒,,3,0,3,4,0,4,0,0,0,0,0,214,0,0
凐灭2011,,3,0,3,4,0,4,0,0,0,0,0,158,0,0
被天使舍弃之夜,,3,0,3,4,0,4,0,0,0,0,0,364,1,0
喝茶的美少女壮士,,3,0,3,3,0,3,0,0,0,0,0,562,0,0
三车厘子kira,,3,0,3,4,0,4,0,0,0,0,0,38151,1,0
xiaomo9999,,3,0,3,3,0,3,0,0,0,0,0,646,0,0
云朵Sissi,,3,0,3,3,0,3,0,0,0,0,0,4035,0,0
一念··永恒,,3,0,3,3,0,3,0,0,0,0,0,47086,0,0
樱桃玫瑰汤,,3,0,3,3,0,3,0,0,0,0,0,32157,1,0
帽王中王巴巴拉,,3,0,3,3,0,3,0,0,0,0,0,628,0,0
孟娴丫,,3,0,3,3,0,3,0,0,0,0,0,30690,1,0
-布莱克在巫师评议会-,,3,0,3,4,0,4,0,0,0,0,0,624,0,0
A五彩斑斓的黑A,,3,0,3,4,0,4,0,0,0,0,0,381,1,0
KING子平,,3,0,3,3,0,3,0,0,0,0,0,611,0,0
用户7786851153,,3,0,3,12,0,12,0,0,0,0,0,2430,1,0
战略局大忽悠,,3,0,3,3,0,3,0,0,0,0,0,605,0,0
小喜布朗尼的主页,,3,0,3,3,0,3,0,0,0,0,0,3048,1,0
是里昂啊_,,3,0,3,3,0,3,0,0,0,0,0,459,0,0
-要炸鸡没有啤酒-,,1,2,3,1,2,3,1,1,1,2,0,14578,0,0
茶言茶语的茶馆儿,,3,0,3,4,0,4,0,0,0,0,0,331,0,0
陋室南同,,3,0,3,4,0,4,0,0,0,0,0,593,0,0
Yixuan_zhao,,3,0,3,3,0,3,0,0,0,0,0,362,1,0
也就看新闻吧,,3,0,3,4,0,4,0,0,0,0,0,339,0,0
天微蓝梦微暗,,3,0,3,3,0,3,0,0,0,0,0,8930,1,0
hdyhdhh1586,,3,0,3,3,0,3,0,0,0,0,0,3113,1,0
千琟,,3,0,3,3,0,3,0,0,0,0,0,590,0,0
-迪迪大王-,,3,0,3,3,0,3,0,0,0,0,0,5,0,0
用户7812607358,,3,0,3,3,0,3,0,0,0,0,0,1139,0,0
大宋87,,3,0,3,3,0,3,0,0,0,0,0,48091,0,0
ZeaLot不想習慣,,3,0,3,3,0,3,0,0,0,0,0,583,0,0
芳醁掬月清,,3,0,3,3,0,3,0,0,0,0,0,3996,1,0
Qinuue_,,3,0,3,3,0,3,0,0,0,0,0,4020,0,0
史老柒,,3,0,3,3,0,3,0,0,0,0,0,403,0,0
公平太难得,,3,0,3,3,0,3,0,0,0,0,0,550,0,0
咕咕大咕咕咕咕哒,,3,0,3,4,0,4,0,0,0,0,0,413,0,0
爱YY宝贝,,3,0,3,9,0,9,0,0,0,0,0,963,0,0
猪_你太美,,3,0,3,5,0,5,0,0,0,0,0,201,0,0
FJgGSAGM,,3,0,3,5,0,5,0,0,0,0,0,576,0,0
王小树改名保平安,,3,0,3,3,0,3,0,0,0,0,0,1493,0,0
孜然赠予你,,3,0,3,3,0,3,0,0,0,0,0,2275,0,0
还有比讲老实话更逗的吗,,3,0,3,3,0,3,0,0,0,0,0,1283,0,0
Sailer_X,,3,0,3,3,0,3,0,0,0,0,0,438,0,0
比亚迪什么时候做新能源房车,,3,0,3,4,0,4,0,0,0,0,0,73,0,0
不知名写手闲云野人,,3,0,3,3,0,3,0,0,0,0,0,882,1,0
重上怒苍2049,,3,0,3,3,0,3,0,0,0,0,0,268,0,0
小马过河SNS,,3,0,3,3,0,3,0,0,0,0,0,429,0,0
放下责任奔向自由,,3,0,3,3,0,3,0,0,0,0,0,400,0,0
老赵,,3,0,3,4,0,4,0,0,0,0,0,567,0,0
萧暮云,,3,0,3,5,0,5,0,0,0,0,0,881,0,0
韦丿小疯子,,3,0,3,3,0,3,0,0,0,0,0,7,0,0
阿毛爱吃糯米鸡,,3,0,3,6,0,6,0,0,0,0,0,564,0,0
机吉斯卡,,3,0,3,3,0,3,0,0,0,0,0,321,0,0
石头备用三号,,3,0,3,8,0,8,0,0,0,0,0,105,0,0
冷眼看犬,,3,0,3,3,0,3,0,0,0,0,0,30,0,0
Geracimov,,3,0,3,4,0,4,0,0,0,0,0,697,0,0
黄金脆皮自闭症,,3,0,3,3,0,3,0,0,0,0,0,235,0,0
是三块石头啊,,3,0,3,3,0,3,0,0,0,0,0,496,0,0
还魂伶,,3,0,3,3,0,3,0,0,0,0,0,150,0,0
elements1234,,3,0,3,4,0,4,0,0,0,0,0,1618,0,0
用户6545058022,,3,0,3,3,0,3,0,0,0,0,0,146,0,0
石头藕粉真菌,,3,0,3,3,0,3,0,0,0,0,0,257,0,0
知乎今天倒闭,,3,0,3,5,0,5,0,0,0,0,0,75,0,0
青丘冷月,,3,0,3,4,0,4,0,0,0,0,0,242,0,0
stormjie,,3,0,3,3,0,3,0,0,0,0,0,119,0,0
呱太浪,,3,0,3,3,0,3,0,0,0,0,0,261,0,0
oNewIng21271,,3,0,3,3,0,3,0,0,0,0,0,254,0,0
AeroJ_877,,3,0,3,5,0,5,0,0,0,0,0,245,0,0
绯红之幻象,,3,0,3,3,0,3,0,0,0,0,0,106,0,0
怪力乱神子非语,,3,0,3,4,0,4,0,0,0,0,0,894,0,0
北固11111,,3,0,3,4,0,4,0,0,0,0,0,104,0,0
__史诗生物__,,3,0,3,4,0,4,0,0,0,0,0,98,0,0
MOREPEN,,3,0,3,3,0,3,0,0,0,0,0,78,0,0
捕梦黄粱,,3,0,3,3,0,3,0,0,0,0,0,535,0,0
高等性别,,3,0,3,5,0,5,0,0,0,0,0,572,0,0
火刑架给妮一个温暖的家,,3,0,3,4,0,4,0,0,0,0,0,537,0,0
呀天空不作美,,3,0,3,3,0,3,0,0,0,0,0,566,0,0
青山刚昌快完结,,3,0,3,3,0,3,0,0,0,0,0,1500,0,0
脖子太痒只因脏,,2,0,2,2,0,2,0,0,0,0,0,480,0,0
正常恋爱捏,,2,0,2,2,0,2,0,0,0,0,0,680,0,1
Fmaous,,2,0,2,2,0,2,0,0,0,0,0,159,0,0
霸气深蓝之星K,,2,0,2,2,0,2,0,0,0,0,0,2669,1,0
加班的日子何时到头,,2,0,2,2,0,2,0,0,0,0,0,2665,1,0
围观贤者,,2,0,2,2,0,2,0,0,0,0,0,1204,0,0
望梨舟,,2,0,2,3,0,3,0,0,0,0,0,2384,1,0
说真话的人不受欢迎,,2,0,2,2,0,2,0,0,0,0,0,3147,1,0
真正的酸甜可乐,,2,0,2,4,0,4,0,0,0,0,0,3277,0,0
雨de_继承人,,2,0,2,2,0,2,0,0,0,0,0,3190,0,0
剑与风之诗,,2,0,2,2,0,2,0,0,0,0,0,166,0,0
网海观猴,,2,0,2,4,0,4,0,0,0,0,0,657,0,0.5
池月ENID,,2,0,2,4,0,4,0,0,0,0,0,3358,1,0
冬去春来_731,,2,0,2,2,0,2,0,0,0,0,0,2169,1,0
菈欄普夛,,2,0,2,2,0,2,0,0,0,0,0,3325,0,0
WJero,,2,0,2,2,0,2,0,0,0,0,0,2588,0,0
得到宽恕的固源岩组,,2,0,2,2,0,2,0,0,0,0,0,2368,1,0
夜里小假面,,2,0,2,2,0,2,0,0,0,0,0,643,0,0
除了喜欢你什么也没有,,2,0,2,6,0,6,0,0,0,0,0,46904,1,0
姬姛人生,,2,0,2,2,0,2,0,0,0,0,0,46684,1,0
仿生地瓜烧会梦见电子番薯吗,,2,0,2,2,0,2,0,0,0,0,0,3954,1,0
mazahsshazam,,2,0,2,2,0,2,0,0,0,0,0,45,0,0
就是我编的厉不厉害,,2,0,2,2,0,2,0,0,0,0,0,46045,1,0
小鱼水中游__,,2,0,2,2,0,2,0,0,0,0,0,45892,1,0
火辣玫瑰少媍,,2,0,2,2,0,2,0,0,0,0,0,3946,1,0
仔姜牛蛙锅,,2,0,2,2,0,2,0,0,0,0,0,45663,1,0
玉唯,,2,0,2,2,0,2,0,0,0,0,0,47114,0,0
叉烧蒸肉馅儿,,2,0,2,2,0,2,0,0,0,0,0,3932,1,0
你说什么我听不清啊啊啊啊啊,,2,0,2,2,0,2,0,0,0,0,0,44601,1,0
小柴summer耶,,2,0,2,2,0,2,0,0,0,0,0,44433,1,0
门牙缝填补战士,,2,0,2,2,0,2,0,0,0,0,0,44343,1,0
实用主义穷人,,2,0,2,2,0,2,0,0,0,0,0,43854,1,0
L_enfer_c_est_les_autres,,2,0,2,2,0,2,0,0,0,0,0,378,1,0
加加利_,,2,0,2,2,0,2,0,0,0,0,0,2211,0,0
你怎么知道我暴富了111,,2,0,2,2,0,2,0,0,0,0,0,43366,1,0
rua噗什姥姥吖,,2,0,2,2,0,2,0,0,0,0,0,43162,1,0
离我远不爱去,,2,0,2,2,0,2,0,0,0,0,0,43107,1,0
袜袜哇哇y,,2,0,2,2,0,2,0,0,0,0,0,43055,1,0
水相雨_,,2,0,2,2,0,2,0,0,0,0,0,43019,1,0
少惹我哈-脾气不大好,,2,0,2,2,0,2,0,0,0,0,0,3442,1,0
某翼_tsubasa,,2,0,2,2,0,2,0,0,0,0,0,42939,1,0
Uptoo_u,,2,0,2,2,0,2,0,0,0,0,0,42081,1,0
安野anyeeeeee,,2,0,2,2,0,2,0,0,0,0,0,3994,1,0
_Yyoomyfish,,2,0,2,2,0,2,0,0,0,0,0,41922,1,0
冷凰月-罗睺,,2,0,2,2,0,2,0,0,0,0,0,41459,0,0
柳不臣,,2,0,2,2,0,2,0,0,0,0,0,41456,1,0
秦岭秋风扫落叶,,2,0,2,2,0,2,0,0,0,0,0,361,1,0
1111芝,,2,0,2,3,0,3,0,0,0,0,0,41347,1,0
OGGiSCeLtA,,2,0,2,2,0,2,0,0,0,0,0,3342,1,0
魔法师蛋小丁,,2,0,2,2,0,2,0,0,0,0,0,47099,0,0
转生变成史莱姆了,,2,0,2,2,0,2,0,0,0,0,0,25268,1,0
雪會yukizeng0804504,,2,0,2,2,0,2,0,0,0,0,0,111,0,0
用户6465828333,,2,0,2,2,0,2,0,0,0,0,0,39930,1,0
用户7457565866,,2,0,2,4,0,4,0,0,0,0,0,39434,1,0
·laughdust·,,2,0,2,2,0,2,0,0,0,0,0,39400,1,0
黯芷汀兰,,2,0,2,2,0,2,0,0,0,0,0,39219,1,0
吹不吹气球,,2,0,2,2,0,2,0,0,0,0,0,11314,1,0
桃子气泡水____123456,,2,0,2,2,0,2,0,0,0,0,0,38952,1,0
江舟的月,,2,0,2,2,0,2,0,0,0,0,0,38608,1,0
请叫我陆多情,,2,0,2,3,0,3,0,0,0,0,0,3083,1,0
葱的情绪零碎,,2,0,2,3,0,3,0,0,0,0,0,38317,1,0
00linkes00,,2,0,2,2,0,2,0,0,0,0,0,3872,0,0
RadioFlyerHigher,,2,0,2,3,0,3,0,0,0,0,0,38083,1,0
新的一年会变得勤快吗,,2,0,2,2,0,2,0,0,0,0,0,3142,1,0
奈斯28668,,2,0,2,5,0,5,0,0,0,0,0,2034,0,0
-鹤久-,,2,0,2,2,0,2,0,0,0,0,0,37979,1,0
白了个白-white,,2,0,2,2,0,2,0,0,0,0,0,11362,1,0
咕噜咕噜咘咘卟,,2,0,2,2,0,2,0,0,0,0,0,37652,1,0
泰拉捕手,,2,0,2,2,0,2,0,0,0,0,0,37595,1,0
何处惹尘埃-限定版,,2,0,2,2,0,2,0,0,0,0,0,2683,0,0
冬酿微醺,,2,0,2,2,0,2,0,0,0,0,0,3956,1,0
毛毛毛小桃MAOTAO,,2,0,2,2,0,2,0,0,0,0,0,37502,1,0
Chicochic-,,2,0,2,2,0,2,0,0,0,0,0,37373,1,0
我长歌绝对是大总攻,,2,0,2,2,0,2,0,0,0,0,0,37285,1,0
师爷好狗,,2,0,2,2,0,2,0,0,0,0,0,37214,1,0
酋长喊我回家吃饭,,2,0,2,3,0,3,0,0,0,0,0,2033,0,0
死宅整天想桃子,,2,0,2,2,0,2,0,0,0,0,0,3141,1,0
真真真真姬呀,,2,0,2,2,0,2,0,0,0,0,0,37024,1,0
织田柿捏,,2,0,2,2,0,2,0,0,0,0,0,36642,1,0
帝皇爪牙小金人,,2,0,2,2,0,2,0,0,0,0,0,856,0,0
冷却模式,,2,0,2,2,0,2,0,0,0,0,0,661,0,0
嗟嗟困犯难,,2,0,2,3,0,3,0,0,0,0,0,35896,1,0
