Topic,Word,Score
17,有人,0.07375940019945465
17,西方,0.06621940023331535
18,悟空,0.0971779021834987
18,女性角色,0.09094911096345258
18,组织,0.08549457689614663
18,ign,0.07168752554261441
18,审美,0.06396623296265914
18,刻板,0.05991395596823985
18,黑神话,0.05950242212839041
18,真实,0.056684759077466604
18,眯眯眼,0.054836130926680486
18,黑神话悟空,0.053733598954959765
19,讨论,0.3311757173910323
19,照片,0.23320245405452592
19,导致,0.14919809585182617
19,政治,0.14586831808864165
19,世界,0.1413607996642289
19,正确,0.13828817455874903
19,歧视,0.1237476082279057
19,群体,0.09645024008303758
19,黑神话,0.07643302596558757
19,记者,0.07378240554465362
20,瑞幸,0.2303087247107883
20,抵制,0.15103385484134765
20,侮辱,0.10678614969932516
20,几年,0.09293461415619607
20,黑神话,0.08597039258278479
